sample_id,status,converged,transfer_ready,output_ready,note
000207,valid,1,1,1,
000208,valid,1,1,1,
000209,valid,1,1,1,
000210,valid,1,1,1,
000211,valid,1,1,1,
000212,valid,1,1,1,
000213,valid,1,1,1,
000214,valid,1,1,1,
000215,valid,1,1,1,
000216,valid,1,1,1,
000217,valid,1,1,1,
000218,valid,1,1,1,
000219,valid,1,1,1,
000220,valid,1,1,1,
000221,valid,1,1,1,
000222,valid,1,1,1,
000223,fail,0,0,0,stable fail
000224,fail,0,0,0,stable fail
000225,valid,1,1,1,
000226,valid,1,1,1,
000227,fail,0,0,0,stable fail
000228,valid,1,1,1,
000229,valid,1,1,1,
000230,valid,1,1,1,
000231,valid,1,1,1,
000232,valid,1,1,1,
000233,valid,1,1,1,
000234,valid,1,1,1,
000235,valid,1,1,1,
000236,valid,1,1,1,
000237,valid,1,1,1,
000238,valid,1,1,1,
000239,valid,1,1,1,
000240,valid,1,1,1,
000241,valid,1,1,1,
000242,valid,1,1,1,
000243,valid,1,1,1,
000244,valid,1,1,1,
000245,valid,1,1,1,
000246,valid,1,1,1,
000247,valid,1,1,1,
000248,valid,1,1,1,
000249,valid,1,1,1,
000250,valid,1,1,1,
000251,valid,1,1,1,
000252,valid,1,1,1,
000253,valid,1,1,1,
000254,valid,1,1,1,
000255,valid,1,1,1,
000256,valid,1,1,1,
000257,valid,1,1,1,
000258,valid,1,1,1,
000259,valid,1,1,1,
000260,valid,1,1,1,
000261,valid,1,1,1,
000262,valid,1,1,1,
000263,valid,1,1,1,
000264,valid,1,1,1,
000265,valid,1,1,1,
000266,valid,1,1,1,
000267,valid,1,1,1,
000268,fail,0,0,0,stable fail
000269,valid,1,1,1,
000270,valid,1,1,1,
000271,valid,1,1,1,
000272,valid,1,1,1,
000273,valid,1,1,1,
000274,valid,1,1,1,
000275,valid,1,1,1,
000276,valid,1,1,1,
000277,valid,1,1,1,
000278,valid,1,1,1,
000279,valid,1,1,1,
000280,valid,1,1,1,
000281,valid,1,1,1,
000282,valid,1,1,1,
000283,valid,1,1,1,
000284,valid,1,1,1,
000285,valid,1,1,1,
000286,valid,1,1,1,
000287,valid,1,1,1,
000288,valid,1,1,1,
000289,valid,1,1,1,
000290,valid,1,1,1,
000291,valid,1,1,1,
000292,valid,1,1,1,
000293,fail,0,0,0,stable fail
000294,valid,1,1,1,
000295,valid,1,1,1,
000296,valid,1,1,1,
000297,fail,0,0,0,stable fail
000298,valid,1,1,1,
000299,valid,1,1,1,
000300,valid,1,1,1,
000301,valid,1,1,1,
000302,valid,1,1,1,
000303,valid,1,1,1,
000304,valid,1,1,1,
000305,valid,1,1,1,
000306,valid,1,1,1,
000307,valid,1,1,1,
000308,valid,1,1,1,
000309,valid,1,1,1,
000310,valid,1,1,1,
000311,valid,1,1,1,
000312,valid,1,1,1,
000313,valid,1,1,1,
000314,valid,1,1,1,
000315,valid,1,1,1,
000316,valid,1,1,1,
000317,valid,1,1,1,
000318,valid,1,1,1,
000319,valid,1,1,1,
000320,valid,1,1,1,
000321,valid,1,1,1,
000322,valid,1,1,1,
000323,valid,1,1,1,
000324,valid,1,1,1,
000325,valid,1,1,1,
000326,valid,1,1,1,
000327,valid,1,1,1,
000328,valid,1,1,1,
000329,valid,1,1,1,
000330,valid,1,1,1,
000331,valid,1,1,1,
000332,valid,1,1,1,
000333,valid,1,1,1,
000334,valid,1,1,1,
000335,valid,1,1,1,
000336,valid,1,1,1,
000337,valid,1,1,1,
000338,valid,1,1,1,
000339,valid,1,1,1,
000340,valid,1,1,1,
000341,valid,1,1,1,
000342,valid,1,1,1,
000343,valid,1,1,1,
000344,valid,1,1,1,
000345,valid,1,1,1,
000346,valid,1,1,1,
000347,valid,1,1,1,
000348,valid,1,1,1,
000349,valid,1,1,1,
000350,valid,1,1,1,
000351,valid,1,1,1,
000352,valid,1,1,1,
000353,valid,1,1,1,
000354,valid,1,1,1,
000355,valid,1,1,1,
000356,valid,1,1,1,
000357,fail,0,0,0,stable fail
000358,valid,1,1,1,
000359,valid,1,1,1,
000360,valid,1,1,1,
000361,valid,1,1,1,
000362,valid,1,1,1,
000363,valid,1,1,1,
000364,valid,1,1,1,
000365,valid,1,1,1,
000366,valid,1,1,1,
000367,valid,1,1,1,
000368,valid,1,1,1,
000369,valid,1,1,1,
000370,valid,1,1,1,
000371,valid,1,1,1,
000372,valid,1,1,1,
000373,valid,1,1,1,
000374,valid,1,1,1,
000375,valid,1,1,1,
000376,valid,1,1,1,
000377,fail,0,0,0,stable fail
000378,valid,1,1,1,
000379,fail,0,0,0,stable fail
000380,valid,1,1,1,
000381,valid,1,1,1,
000382,valid,1,1,1,
000383,valid,1,1,1,
000384,valid,1,1,1,
000385,valid,1,1,1,
000386,valid,1,1,1,
000387,valid,1,1,1,
000388,fail,0,0,0,stable fail
000389,valid,1,1,1,
000390,valid,1,1,1,
000391,valid,1,1,1,
000392,valid,1,1,1,
000393,valid,1,1,1,
000394,valid,1,1,1,
000395,valid,1,1,1,
000396,valid,1,1,1,
000397,valid,1,1,1,
000398,valid,1,1,1,
000399,valid,1,1,1,
000400,valid,1,1,1,
000401,valid,1,1,1,
000402,fail,0,0,0,stable fail
000403,valid,1,1,1,
000404,valid,1,1,1,
000405,valid,1,1,1,
000406,valid,1,1,1,
000407,valid,1,1,1,
000408,valid,1,1,1,
000409,valid,1,1,1,
000410,valid,1,1,1,
000411,valid,1,1,1,
000412,valid,1,1,1,
000413,valid,1,1,1,
000414,valid,1,1,1,
000415,valid,1,1,1,
000416,valid,1,1,1,
000417,valid,1,1,1,
000418,valid,1,1,1,
000419,valid,1,1,1,
000420,fail,0,0,0,stable fail
000421,valid,1,1,1,
000422,fail,0,0,0,stable fail
000423,valid,1,1,1,
000424,valid,1,1,1,
000425,fail,0,0,0,stable fail
000426,valid,1,1,1,
000427,valid,1,1,1,
000428,valid,1,1,1,
000429,valid,1,1,1,
000430,valid,1,1,1,
000431,valid,1,1,1,
000432,valid,1,1,1,
000433,valid,1,1,1,
000434,valid,1,1,1,
000435,valid,1,1,1,
000436,fail,0,0,0,stable fail
000437,valid,1,1,1,
000438,valid,1,1,1,
000439,valid,1,1,1,
000440,valid,1,1,1,
000441,valid,1,1,1,
000442,valid,1,1,1,
000443,valid,1,1,1,
000444,valid,1,1,1,
000445,valid,1,1,1,
000446,valid,1,1,1,
000447,valid,1,1,1,
000448,valid,1,1,1,
000449,valid,1,1,1,
000450,valid,1,1,1,
000451,valid,1,1,1,
000452,valid,1,1,1,
000453,valid,1,1,1,
000454,valid,1,1,1,
000455,valid,1,1,1,
000456,valid,1,1,1,
000457,valid,1,1,1,
000458,valid,1,1,1,
000459,valid,1,1,1,
000460,valid,1,1,1,
000461,valid,1,1,1,
000462,valid,1,1,1,
000463,valid,1,1,1,
000464,valid,1,1,1,
000465,valid,1,1,1,
000466,valid,1,1,1,
000467,valid,1,1,1,
000468,valid,1,1,1,
000469,valid,1,1,1,
000470,valid,1,1,1,
000471,valid,1,1,1,
000472,valid,1,1,1,
000473,valid,1,1,1,
000474,valid,1,1,1,
000475,valid,1,1,1,
000476,valid,1,1,1,
000477,valid,1,1,1,
000478,valid,1,1,1,
000479,valid,1,1,1,
000480,valid,1,1,1,
000481,valid,1,1,1,
000482,fail,0,0,0,stable fail
000483,valid,1,1,1,
000484,valid,1,1,1,
000485,valid,1,1,1,
000486,valid,1,1,1,
000487,valid,1,1,1,
000488,valid,1,1,1,
000489,valid,1,1,1,
000490,valid,1,1,1,
000491,valid,1,1,1,
000492,fail,0,0,0,stable fail
000493,valid,1,1,1,
000494,valid,1,1,1,
000495,valid,1,1,1,
000496,valid,1,1,1,
000497,valid,1,1,1,
000498,valid,1,1,1,
000499,valid,1,1,1,
000500,valid,1,1,1,
000501,valid,1,1,1,
000502,valid,1,1,1,
000503,fail,0,0,0,stable fail
000504,fail,0,0,0,stable fail
000505,valid,1,1,1,
000506,valid,1,1,1,
000507,valid,1,1,1,
000508,valid,1,1,1,
000509,valid,1,1,1,
000510,valid,1,1,1,
000511,valid,1,1,1,
000512,valid,1,1,1,
000513,valid,1,1,1,
000514,valid,1,1,1,
000515,valid,1,1,1,
000516,valid,1,1,1,
000517,valid,1,1,1,
000518,valid,1,1,1,
000519,valid,1,1,1,
000520,valid,1,1,1,
000521,valid,1,1,1,
000522,valid,1,1,1,
000523,valid,1,1,1,
000524,valid,1,1,1,
000525,valid,1,1,1,
000526,valid,1,1,1,
000527,valid,1,1,1,
000528,valid,1,1,1,
000529,fail,0,0,0,stable fail
000530,valid,1,1,1,
000531,valid,1,1,1,
000532,valid,1,1,1,
000533,valid,1,1,1,
000534,valid,1,1,1,
000535,valid,1,1,1,
000536,valid,1,1,1,
000537,valid,1,1,1,
000538,valid,1,1,1,
000539,valid,1,1,1,
000540,valid,1,1,1,
000541,valid,1,1,1,
000542,fail,0,0,0,stable fail
000543,valid,1,1,1,
000544,valid,1,1,1,
000545,valid,1,1,1,
000546,valid,1,1,1,
000547,valid,1,1,1,
000548,valid,1,1,1,
000549,valid,1,1,1,
000550,valid,1,1,1,
000551,valid,1,1,1,
000552,valid,1,1,1,
000553,valid,1,1,1,
000554,valid,1,1,1,
000555,valid,1,1,1,
000556,valid,1,1,1,
000557,valid,1,1,1,
000558,valid,1,1,1,
000559,valid,1,1,1,
000560,valid,1,1,1,
000561,valid,1,1,1,
000562,fail,0,0,0,stable fail
000563,valid,1,1,1,
000564,valid,1,1,1,
000565,valid,1,1,1,
000566,fail,0,0,0,stable fail
000567,valid,1,1,1,
000568,valid,1,1,1,
000569,valid,1,1,1,
000570,valid,1,1,1,
000571,valid,1,1,1,
000572,valid,1,1,1,
000573,valid,1,1,1,
000574,valid,1,1,1,
000575,valid,1,1,1,
000576,valid,1,1,1,
000577,fail,0,0,0,stable fail
000578,valid,1,1,1,
000579,valid,1,1,1,
000580,valid,1,1,1,
